CustomerID,LastPurchaseDate,Frequency,MonetaryValue,Recency,R_Quartile,R_Score,F_Quartile,F_Score,M_Quartile,M_Score,RFM_Score_Concat,Segment
16738,2011-02-15 09:46:00,1,3.75,298,4,1,2,2,1,1,121,Hibernating/Lost
16454,2011-10-06 16:57:00,1,5.9,65,3,2,1,1,1,1,211,Hibernating/Lost
14792,2011-10-07 09:19:00,1,6.2,64,3,2,1,1,1,1,211,Hibernating/Lost
17956,2011-04-04 13:47:00,1,12.75,250,4,1,2,2,1,1,121,Hibernating/Lost
16878,2011-09-16 17:39:00,1,13.3,85,3,2,1,1,1,1,211,Hibernating/Lost
13307,2011-08-11 17:14:00,1,15.0,121,3,2,1,1,1,1,211,Hibernating/Lost
17763,2011-03-21 14:25:00,1,15.0,264,4,1,2,2,1,1,121,Hibernating/Lost
16093,2011-08-25 11:09:00,1,17.0,107,3,2,1,1,1,1,211,Hibernating/Lost
16953,2011-11-09 15:54:00,1,20.8,31,2,3,1,1,1,1,311,Promising
17986,2011-10-14 14:22:00,1,20.8,57,3,2,1,1,1,1,211,Hibernating/Lost
16257,2011-06-16 10:11:00,1,21.95,177,4,1,1,1,1,1,111,Hibernating/Lost
18268,2011-07-28 19:13:00,1,25.5,135,3,2,1,1,1,1,211,Hibernating/Lost
17102,2011-03-23 10:08:00,1,25.5,262,4,1,2,2,1,1,121,Hibernating/Lost
15657,2011-11-17 12:19:00,1,30.0,23,2,3,1,1,1,1,311,Promising
13120,2011-04-15 10:19:00,1,30.6,239,4,1,1,1,1,1,111,Hibernating/Lost
17408,2011-06-29 12:53:00,1,32.65,164,4,1,1,1,1,1,111,Hibernating/Lost
16765,2011-02-18 15:41:00,1,34.0,295,4,1,2,2,1,1,121,Hibernating/Lost
15744,2011-09-23 09:52:00,1,34.8,78,3,2,1,1,1,1,211,Hibernating/Lost
16856,2011-11-25 08:59:00,1,35.4,15,1,4,1,1,1,1,411,New Customers
17831,2011-11-06 15:09:00,1,35.4,34,2,3,1,1,1,1,311,Promising
14576,2010-12-02 17:51:00,1,35.4,373,4,1,2,2,1,1,121,Hibernating/Lost
15940,2011-02-01 16:18:00,1,35.8,312,4,1,2,2,1,1,121,Hibernating/Lost
17816,2011-11-03 11:34:00,4,36.56,37,2,3,3,3,1,1,331,Need Attention
16162,2011-04-01 15:03:00,1,37.4,253,4,1,2,2,1,1,121,Hibernating/Lost
